Date,PM2.5,Tmax,Tmin,Humidity,Dew,Pressure,Wind Speed
12/31/2018,183,19,1,70,2.5,1023,1.5
1/1/2019,181,18,2.5,70,2,1023,1.5
1/2/2019,174,17.5,2,70,2.5,1023,1.5
1/3/2019,163,16,2,66,2.5,1022,1.8
1/4/2019,163,15,1.5,72.5,2,1022.5,1.5
1/5/2019,176,16.5,1,75,3,1023,1.5
1/6/2019,191,18.5,2,70,3,1022,1.5
1/7/2019,192,16,6,78,4,1021,2
1/8/2019,167,18.5,3,65.5,2,1018,1.5
1/9/2019,169,17,5,78,4,1018,1.5
1/10/2019,173,16,4,81,5,1019,1.8
1/11/2019,178,16.5,5,84,6,1021,1.5
1/12/2019,189,17,5,81,5,1021,1.5
1/13/2019,181,18,3.5,78.5,4.5,1021,1.5
1/14/2019,174,17.5,3,76,4,1018,1.5
1/15/2019,173,17,3,76,3.5,1018.5,1.5
1/16/2019,173,17,3,78.5,5,1021,1.5
1/17/2019,180,18,4,81.5,4.5,1019,1.2
1/18/2019,175,18,4,81.5,5.5,1019,1.5
1/19/2019,169,18,4,81,5,1019.5,1.5
1/20/2019,168,18,4,76,5,1020,1.5
1/21/2019,176,19.5,5,73.5,5,1020,1.5
1/22/2019,173,19,6,64,6,1021,1.5
1/23/2019,107,11,7,93,8,1022,2
1/24/2019,164,19,6,84,5.5,1022,1.5
1/25/2019,157,17,6,87,6,1023,1.5
1/26/2019,132,12.5,8,93,8,1023,1.5
1/27/2019,175,16.5,7,82,6,1023,1.5
1/28/2019,167,17,4,87,5,1021.5,1.5
1/29/2019,153,15,4,84,4.5,1020,1.5
1/30/2019,162,17.5,3,78,3,1021.5,1.5
1/31/2019,163,18,4.5,78.5,5,1023,1.5
2/1/2019,180,18.5,7,81,6,1021,1.5
2/2/2019,170,20,4.5,75,4.5,1019.5,1.5
2/3/2019,160,20,4,71,4,1021,1.5
2/4/2019,166,21,5,76,6,1022,1.5
2/5/2019,169,20,5.5,76,7,1020.5,1.5
2/6/2019,118,21,7,73.5,7.5,1018,1.5
2/7/2019,98,11,8.5,100,9.5,1022,1
2/8/2019,72,16.5,7.5,93,9,1021,1.5
2/9/2019,45,13.5,5,84,5,1019,2.3
2/10/2019,78,17,2.5,78.5,4,1021,1.5
2/11/2019,95,19,7,87,7,1022.5,1.5
2/12/2019,109,19,5,76,7,1024,1.5
2/13/2019,118,20,7,76.5,8,1023,1.5
2/14/2019,153,18,9,84.5,9.5,1021.5,1.2
2/15/2019,123,19.5,10,81,8.5,1021,1.5
2/16/2019,83,17.5,7,90,8.5,1019,1.5
2/17/2019,65,17,5.5,84,6.5,1014,1.5
2/18/2019,82,20,6,76,7.5,1013,1.8
2/19/2019,82,18,8,81,7.5,1018,1.5
2/20/2019,91,20,6,71.5,7,1020.5,1.5
2/21/2019,101,22,8,76,8,1022,1.5
2/22/2019,99,24,8.5,67,8,1018,1.5
2/23/2019,89,23,8.5,61,7,1016,1.8
2/24/2019,94,21,8,54,6.5,1015,1.5
2/25/2019,65,19,9,54,4,1016,1.5
2/26/2019,72,19.5,8.5,43,3,1015.5,2
2/27/2019,66,15,9,66,4.5,1014.5,2.8
2/28/2019,36,13.5,2,84,4,1015.5,2
3/1/2019,64,18,3,76,4.5,1016.5,1.8
3/2/2019,79,17.5,5,76,7,1019,1.8
3/3/2019,80,18,7,87,8.5,1015,1.5
3/4/2019,81,21,7,81.5,8,1012,1.8
